Country,Country_Code,Year,Percentile,Indicator,Value
Bangladesh,BD,2017,p0p50,shweal,0.0474
Bangladesh,BD,2017,pall,anweal,37850.9502
Bangladesh,BD,2017,pall,wnweal,5.0438
Bangladesh,BD,2018,p0p100,spllin,0.2325
Bangladesh,BD,2018,p0p50,sptinc,0.1905
Bangladesh,BD,2018,p0p50,shweal,0.0474
Bangladesh,BD,2018,pall,anweal,41729.3864
Bangladesh,BD,2018,pall,wnweal,5.230300000000001
Bangladesh,BD,2019,p0p100,spllin,0.2439
Bangladesh,BD,2019,p0p50,sptinc,0.1905
Bangladesh,BD,2019,p0p50,shweal,0.0474
Bangladesh,BD,2019,pall,anweal,42939.558
Bangladesh,BD,2019,pall,wnweal,5.2115
Bangladesh,BD,2020,p0p100,spllin,0.25369999
Bangladesh,BD,2020,p0p50,sptinc,0.1905
Bangladesh,BD,2020,p0p50,shweal,0.0474
Bangladesh,BD,2020,pall,anweal,46491.7514
Bangladesh,BD,2020,pall,wnweal,5.4652
Bangladesh,BD,2021,p0p100,spllin,0.2642
Bangladesh,BD,2021,p0p50,sptinc,0.1905
Bangladesh,BD,2021,p0p50,shweal,0.0474
Bangladesh,BD,2021,pall,anweal,50067.7982
Bangladesh,BD,2021,pall,wnweal,5.5689
Bangladesh,BD,2022,p0p100,spllin,0.27250001
Bangladesh,BD,2022,p0p50,sptinc,0.1905
Bangladesh,BD,2022,p0p50,shweal,0.0474
Bangladesh,BD,2022,pall,anweal,55213.755
Bangladesh,BD,2022,pall,wnweal,5.8395
Bangladesh,BD,2023,p0p100,spllin,0.2665
Bangladesh,BD,2023,p0p50,sptinc,0.1905
Bangladesh,BD,2023,p0p50,shweal,0.0474
Bangladesh,BD,2023,pall,anweal,56304.5959
Bangladesh,BD,2023,pall,wnweal,5.7766
Bangladesh,BD,2024,p0p100,spllin,0.25330001
Bangladesh,BD,2024,p0p50,sptinc,0.1905
Bangladesh,BD,2024,p0p50,shweal,0.0474
Bangladesh,BD,2024,pall,anweal,57160.9144
Bangladesh,BD,2024,pall,wnweal,5.7766
India,IN,2000,p0p100,spllin,0.1609
India,IN,2000,p0p50,sptinc,0.206
India,IN,2000,p0p50,shweal,0.0758
India,IN,2000,pall,anweal,16729.9684
India,IN,2000,pall,wnweal,4.3334
India,IN,2001,p0p100,spllin,0.15989999
India,IN,2001,p0p50,sptinc,0.2017
India,IN,2001,p0p50,shweal,0.073
India,IN,2001,pall,anweal,16836.8563
India,IN,2001,pall,wnweal,4.2873
India,IN,2002,p0p100,spllin,0.15889999
India,IN,2002,p0p50,sptinc,0.1973
India,IN,2002,p0p50,shweal,0.0693
India,IN,2002,pall,anweal,17043.1289
India,IN,2002,pall,wnweal,4.2831
India,IN,2003,p0p100,spllin,0.15790001
India,IN,2003,p0p50,sptinc,0.1929
India,IN,2003,p0p50,shweal,0.0696
India,IN,2003,pall,anweal,17599.3204
India,IN,2003,pall,wnweal,4.2371
India,IN,2004,p0p100,spllin,0.1569
India,IN,2004,p0p50,sptinc,0.1884
India,IN,2004,p0p50,shweal,0.0681
India,IN,2004,pall,anweal,18466.5203
India,IN,2004,pall,wnweal,4.216600000000001
India,IN,2005,p0p100,spllin,0.1569
India,IN,2005,p0p50,sptinc,0.1839
India,IN,2005,p0p50,shweal,0.0676
India,IN,2005,pall,anweal,19585.5028
India,IN,2005,pall,wnweal,4.2743
India,IN,2006,p0p100,spllin,0.1569
India,IN,2006,p0p50,sptinc,0.1793
India,IN,2006,p0p50,shweal,0.0652
India,IN,2006,pall,anweal,20938.9045
India,IN,2006,pall,wnweal,4.348100000000001
India,IN,2007,p0p100,spllin,0.1568
